customer_id,customer_tenure_days,previous_success_count,previous_failure_count,customer_recent_activity,historical_recovery_rate
C0001,1156,8,3,medium,0.6666666666666666
C0002,1489,6,4,high,0.5454545454545454
C0003,890,6,0,medium,0.8571428571428571
C0004,1324,12,0,medium,0.9230769230769231
C0005,1160,7,0,high,0.875
C0006,1125,11,1,medium,0.8461538461538461
C0007,1074,11,2,high,0.7857142857142857
C0008,151,8,1,medium,0.8
C0009,496,7,1,high,0.7777777777777778
C0010,1268,9,0,medium,0.9
C0011,360,9,3,high,0.6923076923076923
C0012,117,10,3,high,0.7142857142857143
C0013,1426,13,2,medium,0.8125
C0014,1153,5,2,high,0.625
C0015,901,9,1,high,0.8181818181818182
C0016,160,8,0,low,0.8888888888888888
C0017,1362,7,1,medium,0.7777777777777778
C0018,799,6,0,low,0.8571428571428571
C0019,373,5,4,high,0.5
C0020,1467,9,2,high,0.75
C0021,835,6,1,low,0.75
C0022,415,4,5,low,0.4
C0023,1245,7,1,medium,0.7777777777777778
C0024,985,6,2,medium,0.6666666666666666
C0025,306,3,3,low,0.42857142857142855
C0026,1214,10,1,medium,0.8333333333333334
C0027,489,11,1,medium,0.8461538461538461
C0028,1367,8,2,low,0.7272727272727273
C0029,51,4,1,high,0.6666666666666666
C0030,282,5,1,high,0.7142857142857143
C0031,777,11,2,high,0.7857142857142857
C0032,886,6,0,high,0.8571428571428571
C0033,504,9,3,medium,0.6923076923076923
C0034,1112,7,1,medium,0.7777777777777778
C0035,540,9,1,medium,0.8181818181818182
C0036,729,7,1,high,0.7777777777777778
C0037,1005,12,3,high,0.75
C0038,219,11,3,high,0.7333333333333333
C0039,987,7,1,high,0.7777777777777778
C0040,716,5,2,medium,0.625
C0041,987,7,2,medium,0.7
C0042,592,10,2,medium,0.7692307692307693
C0043,1297,10,1,low,0.8333333333333334
C0044,861,3,2,low,0.5
C0045,1184,11,2,high,0.7857142857142857
C0046,676,9,0,medium,0.9
C0047,50,9,3,medium,0.6923076923076923
C0048,870,9,1,medium,0.8181818181818182
C0049,196,10,4,medium,0.6666666666666666
C0050,1327,6,3,medium,0.6
C0051,417,10,4,medium,0.6666666666666666
C0052,630,14,3,medium,0.7777777777777778
C0053,345,8,0,high,0.8888888888888888
C0054,43,11,2,medium,0.7857142857142857
C0055,271,7,2,medium,0.7
C0056,806,5,1,high,0.7142857142857143
C0057,1399,7,1,high,0.7777777777777778
C0058,594,9,1,high,0.8181818181818182
C0059,927,8,4,medium,0.6153846153846154
C0060,1393,10,1,low,0.8333333333333334
C0061,121,9,2,medium,0.75
C0062,1420,9,0,medium,0.9
