payment_id,customer_id,amount,payment_method,hour_of_day,day_of_week,retry_count,failure_reason,failure_source,failure_step,failure_code,customer_tenure_days,previous_success_count,previous_failure_count,customer_recent_activity,historical_recovery_rate,recovered
P00001,C0082,4098.48,card,16,Saturday,0,expired_card,issuer,payment_authorization,BAD_REQUEST_ERROR,299,6,1,medium,0.75,1
P00002,C0737,1710.2,upi,7,Saturday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,39,5,1,medium,0.7142857142857143,0
P00003,C0079,2689.37,netbanking,6,Thursday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,191,6,3,medium,0.6,1
P00004,C0662,950.55,card,17,Saturday,1,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,377,7,2,high,0.7,1
P00005,C0873,6169.37,card,3,Tuesday,0,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,711,7,4,high,0.5833333333333334,0
P00006,C0283,380.04,card,23,Sunday,0,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,283,11,1,medium,0.8461538461538461,1
P00007,C0311,8305.35,upi,21,Sunday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,1075,9,3,medium,0.6923076923076923,0
P00008,C0997,9370.52,netbanking,1,Tuesday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,1494,10,2,high,0.7692307692307693,1
P00009,C0160,159.07,card,15,Tuesday,2,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,1139,5,1,low,0.7142857142857143,0
P00010,C0316,10670.96,card,17,Saturday,1,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,592,8,0,low,0.8888888888888888,0
P00011,C0877,8327.23,upi,22,Thursday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,674,8,2,medium,0.7272727272727273,1
P00012,C0979,2230.43,netbanking,7,Sunday,1,network_error,gateway,payment_processing,GATEWAY_ERROR,272,7,1,high,0.7777777777777778,1
P00013,C0668,905.23,netbanking,13,Monday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,853,11,2,medium,0.7857142857142857,0
P00014,C0156,1289.8,upi,17,Tuesday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,1089,11,1,high,0.8461538461538461,0
P00015,C0888,1396.16,card,18,Friday,2,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,1174,7,0,medium,0.875,0
P00016,C0714,11115.06,card,23,Wednesday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,1369,9,1,high,0.8181818181818182,1
P00017,C0468,1902.57,wallet,3,Wednesday,1,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,1026,4,2,high,0.5714285714285714,0
P00018,C0921,7371.11,wallet,21,Thursday,2,network_error,gateway,payment_processing,GATEWAY_ERROR,1056,6,1,medium,0.75,0
P00019,C0853,2633.16,upi,13,Wednesday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,790,9,0,medium,0.9,0
P00020,C0462,3149.74,upi,1,Sunday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,819,9,2,low,0.75,1
P00021,C0854,619.31,wallet,16,Thursday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1236,9,3,medium,0.6923076923076923,0
P00022,C0117,946.65,upi,5,Wednesday,1,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,1081,8,0,medium,0.8888888888888888,1
P00023,C0666,10862.78,card,7,Monday,1,expired_card,issuer,payment_authorization,BAD_REQUEST_ERROR,1422,6,2,high,0.6666666666666666,1
P00024,C0364,2551.09,upi,15,Monday,1,network_error,gateway,payment_processing,GATEWAY_ERROR,1376,8,0,medium,0.8888888888888888,1
P00025,C0843,4026.53,wallet,20,Monday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,1383,7,2,low,0.7,0
P00026,C0631,18148.75,upi,0,Monday,1,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,1418,10,3,low,0.7142857142857143,0
P00027,C0711,2623.79,netbanking,17,Tuesday,1,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,705,6,4,high,0.5454545454545454,1
P00028,C0913,2479.36,upi,2,Sunday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,1439,7,1,high,0.7777777777777778,1
P00029,C0466,9957.55,card,17,Friday,0,expired_card,issuer,payment_authorization,BAD_REQUEST_ERROR,183,11,1,medium,0.8461538461538461,1
P00030,C0775,3018.0,card,9,Monday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,1198,6,0,medium,0.8571428571428571,1
P00031,C0184,4105.19,wallet,1,Saturday,1,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,678,6,2,medium,0.6666666666666666,0
P00032,C0960,8077.33,upi,18,Tuesday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,1373,10,2,high,0.7692307692307693,0
P00033,C0660,2981.3,card,10,Thursday,0,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,1054,8,5,low,0.5714285714285714,0
P00034,C0166,6552.41,wallet,18,Wednesday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,825,12,2,high,0.8,1
P00035,C0075,2654.88,upi,23,Wednesday,1,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,1159,11,3,medium,0.7333333333333333,0
P00036,C0748,7951.69,netbanking,23,Tuesday,2,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,175,8,1,low,0.8,0
P00037,C0826,4542.93,upi,2,Saturday,2,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,476,9,1,high,0.8181818181818182,0
P00038,C0272,2379.38,card,9,Saturday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,237,6,2,medium,0.6666666666666666,0
P00039,C0691,3210.72,upi,15,Wednesday,1,network_error,gateway,payment_processing,GATEWAY_ERROR,1196,6,2,low,0.6666666666666666,0
P00040,C0503,258.7,wallet,2,Saturday,0,insufficient_funds,issuer,payment_authorization,BAD_REQUEST_ERROR,821,9,3,low,0.6923076923076923,0
P00041,C0795,9835.7,card,23,Monday,1,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,147,6,2,medium,0.6666666666666666,0
P00042,C0563,850.11,netbanking,18,Sunday,0,authentication_failed,bank,payment_authorization,BAD_REQUEST_ERROR,896,7,3,medium,0.6363636363636364,0
P00043,C0587,1023.4,card,19,Wednesday,1,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,1122,6,2,high,0.6666666666666666,1
P00044,C0656,1923.65,card,20,Monday,0,card_declined,issuer,payment_authorization,BAD_REQUEST_ERROR,485,6,4,high,0.5454545454545454,0
P00045,C0343,496.23,card,6,Monday,1,expired_card,issuer,payment_authorization,BAD_REQUEST_ERROR,309,8,2,medium,0.7272727272727273,0
P00046,C0700,4758.16,netbanking,16,Wednesday,0,bank_error,bank,payment_processing,BAD_REQUEST_ERROR,765,8,2,medium,0.7272727272727273,1
P00047,C0635,4277.03,upi,7,Sunday,0,network_error,gateway,payment_processing,GATEWAY_ERROR,1380,6,2,medium,0.6666666666666666,0
