payment_id,amount,recovery_probability,expected_recoverable_revenue,recovery_priority,confidence,retry_count,action,status,timestamp,reason,recovery_message,payment_link_id,payment_link_url,payment_link_status
P09876,99297.08,0.5295746260270648,52585.21400657954,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.652874,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P07863,119070.0,0.3314514211971274,39465.92072194196,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.653005,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹119,070.00 could not be completed because the payment authentication could not be completed.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_cd94a6e1cb9e,https://rzp.io/i/mock_a6e1cb9e,created
P01471,56160.83,0.5457763831848677,30651.254674060212,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.653279,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹56,160.83 could not be completed because there were insufficient funds to complete the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_bede272231b4,https://rzp.io/i/mock_272231b4,created
P03990,87258.82,0.3455818654744334,30155.065794697803,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.653390,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P00969,100075.11,0.22160466425348274,22177.111151680354,High,High,1,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.653472,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹100,075.11 could not be completed because the payment authentication could not be completed.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_ffd7d21fa0da,https://rzp.io/i/mock_d21fa0da,created
P03759,36925.09,0.5126888780077473,18931.082962435088,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.653583,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P07747,51398.99,0.35829519415974753,18416.01110166492,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.653649,High-value opportunity but model confidence is low,,,,
P08028,37336.19,0.4316463866209377,16116.031503692788,High,Low,0,HUMAN_REVIEW,PENDING,2026-08-31T00:01:34.653717,High-value opportunity but model confidence is low,,,,
P09122,43606.8,0.3627727222396099,15819.357544158222,High,Medium,2,STOP,BLOCKED,2026-08-31T00:01:34.653773,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
P02866,33917.02,0.45877875969364257,15560.408368104467,High,High,0,GENERATE_PAYMENT_LINK,APPROVED,2026-08-31T00:01:34.653832,Recovery opportunity is suitable for automated customer recovery,"Hi,

Your recent payment of ₹33,917.02 could not be completed because a temporary network issue interrupted the payment.

You can complete the payment using the secure payment link provided below.

If you have already completed the payment, please ignore this message.

Thank you.",plink_test_55039c1b0fc7,https://rzp.io/i/mock_9c1b0fc7,created
P06348,30270.62,0.5052721803109135,15294.902166763142,High,Medium,0,STOP,BLOCKED,2026-08-31T00:01:34.653922,Recovery attempt limit reached or recovery opportunity is not suitable,,,,
